2024-10-18 15:20:11.904 [info] Starting Python Locator /home/ec2-user/.vscode-server/extensions/ms-python.python-2024.16.1-linux-x64/python-env-tools/bin/pet server
2024-10-18 15:20:11.904 [info] Discovered env: /usr/bin/python
2024-10-18 15:20:11.904 [info] Discovered env: /bin/python
2024-10-18 15:20:11.904 [info] Discovered env: /bin/python3
2024-10-18 15:20:11.904 [info] Discovered env: /usr/bin/python3
2024-10-18 15:20:11.916 [info] Locator Conda took 37.431244ms
2024-10-18 15:20:11.916 [info] Locator Homebrew took 44.213µs
2024-10-18 15:20:11.916 [info] Locator LinuxGlobal took 65.915269ms
2024-10-18 15:20:11.916 [info] Locator PipEnv took 9.053µs
2024-10-18 15:20:11.917 [info] Locator Poetry took 72.589µs
2024-10-18 15:20:11.917 [info] Locator PyEnv took 82.76µs
2024-10-18 15:20:11.917 [info] Locator Venv took 8.975µs
2024-10-18 15:20:11.917 [info] Locator VirtualEnv took 8.634µs
2024-10-18 15:20:11.917 [info] Locator VirtualEnvWrapper took 9.426µs
2024-10-18 15:20:11.917 [info] Locator GlobalVirtualEnvs took 373.679µs
2024-10-18 15:20:11.917 [info] Locator Locators took 72.662863ms
2024-10-18 15:20:11.917 [info] Locator Path took 184.731746ms
2024-10-18 15:20:11.917 [info] Locator Workspaces took 1.161µs
2024-10-18 15:20:11.917 [info] Refresh completed in 185ms
